id,production_run_id,workstation_id,downtime_category,downtime_reason,start_timestamp,end_timestamp,duration_minutes,root_cause,corrective_action
33,7,30,Quality Hold,Defect investigation,2024-01-01 09:10:00,2024-01-01 09:19:25,9.4,Unknown,Settings adjusted
34,7,30,Changeover,Fixture swap,2024-01-01 07:11:00,2024-01-01 07:42:48,31.8,Supplier issue,Temporary fix applied
35,7,28,Equipment Failure,Hydraulic leak,2024-01-01 08:36:00,2024-01-01 09:07:01,31,Worn component,Temporary fix applied
36,7,32,Operator,Safety incident,2024-01-01 09:30:00,2024-01-01 09:35:08,5.1,Worn component,Settings adjusted
37,8,29,Equipment Failure,Robot error,2024-01-01 17:44:00,2024-01-01 17:54:04,10.1,Process variation,Settings adjusted
38,8,31,Operator,Safety incident,2024-01-01 19:44:00,2024-01-01 20:11:57,28,Process variation,Temporary fix applied
39,8,29,Changeover,Model changeover,2024-01-01 21:01:00,2024-01-01 21:35:51,34.9,Unknown,Operator retrained
40,8,25,Equipment Failure,Robot error,2024-01-01 16:12:00,2024-01-01 16:38:40,26.7,Unknown,Root cause pending
41,9,36,Material,Part shortage,2024-01-02 00:51:00,2024-01-02 01:02:34,11.6,Supplier issue,Settings adjusted
42,9,35,Equipment Failure,Pneumatic failure,2024-01-02 01:55:00,2024-01-02 02:32:16,37.3,Design flaw,Root cause pending
43,9,30,Equipment Failure,Robot error,2024-01-02 02:42:00,2024-01-02 03:25:21,43.4,Worn component,Settings adjusted
44,10,42,Material,Material quality issue,2024-01-01 08:26:00,2024-01-01 08:37:43,11.7,Design flaw,Operator retrained
45,10,37,Changeover,Fixture swap,2024-01-01 11:13:00,2024-01-01 11:52:51,39.9,Supplier issue,Escalated to engineering
46,10,49,Operator,Training,2024-01-01 13:02:00,2024-01-01 13:22:42,20.7,Unknown,Escalated to engineering
47,10,49,Planned Maintenance,Calibration,2024-01-01 07:08:00,2024-01-01 07:54:50,46.8,Process variation,Temporary fix applied
48,10,47,Changeover,Tool change,2024-01-01 13:26:00,2024-01-01 13:45:01,19,Worn component,Part replaced
49,11,48,Quality Hold,Defect investigation,2024-01-01 17:20:00,2024-01-01 17:44:07,24.1,Operator error,Settings adjusted
50,11,38,Material,Material quality issue,2024-01-01 14:05:00,2024-01-01 14:21:38,16.6,Process variation,Escalated to engineering
51,11,47,Material,Wrong part delivered,2024-01-01 17:55:00,2024-01-01 18:22:58,28,Operator error,Part replaced
52,11,46,Quality Hold,Defect investigation,2024-01-01 19:09:00,2024-01-01 19:38:18,29.3,Process variation,Temporary fix applied
53,11,49,Equipment Failure,Motor failure,2024-01-01 15:59:00,2024-01-01 16:45:12,46.2,Design flaw,Root cause pending
54,11,40,Changeover,Tool change,2024-01-01 20:26:00,2024-01-01 20:58:25,32.4,Design flaw,Temporary fix applied
55,12,45,Quality Hold,Rework backlog,2024-01-02 00:54:00,2024-01-02 01:12:28,18.5,Supplier issue,Operator retrained
56,12,48,Equipment Failure,Sensor malfunction,2024-01-02 05:27:00,2024-01-02 06:01:06,34.1,Supplier issue,Settings adjusted
57,12,45,Equipment Failure,Robot error,2024-01-02 03:42:00,2024-01-02 04:19:11,37.2,Operator error,Settings adjusted
58,13,9,Equipment Failure,Motor failure,2024-01-02 06:48:00,2024-01-02 07:09:38,21.6,Design flaw,Part replaced
59,13,3,Changeover,Tool change,2024-01-02 12:27:00,2024-01-02 12:50:49,23.8,Process variation,Temporary fix applied
60,14,7,Equipment Failure,Hydraulic leak,2024-01-02 14:38:00,2024-01-02 15:04:44,26.7,Worn component,Part replaced
61,14,7,Material,Part shortage,2024-01-02 18:50:00,2024-01-02 19:17:53,27.9,Process variation,Root cause pending
62,14,4,Equipment Failure,PLC fault,2024-01-02 19:57:00,2024-01-02 20:36:01,39,Operator error,Operator retrained
63,14,8,Material,Material quality issue,2024-01-02 16:03:00,2024-01-02 16:14:43,11.7,Design flaw,Temporary fix applied
64,14,2,Other,Power fluctuation,2024-01-02 18:27:00,2024-01-02 18:33:39,6.7,Process variation,Root cause pending
65,15,12,Equipment Failure,Hydraulic leak,2024-01-02 22:36:00,2024-01-02 23:33:40,57.7,Operator error,Operator retrained
66,15,11,Changeover,Tool change,2024-01-02 23:24:00,2024-01-02 23:50:51,26.9,Operator error,Settings adjusted
67,15,6,Changeover,Fixture swap,2024-01-03 03:16:00,2024-01-03 03:59:09,43.2,Unknown,Escalated to engineering
68,15,12,Equipment Failure,Sensor malfunction,2024-01-03 02:32:00,2024-01-03 02:47:06,15.1,Design flaw,Part replaced
69,15,7,Material,Material quality issue,2024-01-02 23:21:00,2024-01-02 23:40:37,19.6,Worn component,Operator retrained
70,16,15,Quality Hold,Defect investigation,2024-01-02 12:27:00,2024-01-02 12:52:14,25.2,Worn component,Settings adjusted
71,16,16,Changeover,Fixture swap,2024-01-02 11:20:00,2024-01-02 11:57:11,37.2,Worn component,Operator retrained
72,17,22,Operator,Operator unavailable,2024-01-02 20:18:00,2024-01-02 20:44:29,26.5,Operator error,Settings adjusted
73,17,15,Equipment Failure,Hydraulic leak,2024-01-02 17:25:00,2024-01-02 18:18:02,53,Design flaw,Escalated to engineering
74,18,18,Planned Maintenance,Lubrication,2024-01-02 23:00:00,2024-01-02 23:54:38,54.6,Worn component,Settings adjusted
75,18,14,Material,Wrong part delivered,2024-01-03 03:27:00,2024-01-03 03:53:52,26.9,Process variation,Operator retrained
76,18,17,Equipment Failure,Motor failure,2024-01-02 22:03:00,2024-01-02 22:34:09,31.2,Operator error,Temporary fix applied
77,18,19,Material,Wrong part delivered,2024-01-03 00:46:00,2024-01-03 01:07:54,21.9,Process variation,Settings adjusted
78,18,13,Changeover,Tool change,2024-01-03 05:08:00,2024-01-03 05:42:50,34.8,Design flaw,Part replaced
79,19,32,Changeover,Model changeover,2024-01-02 10:56:00,2024-01-02 11:19:02,23,Unknown,Operator retrained
80,19,33,Changeover,Fixture swap,2024-01-02 09:02:00,2024-01-02 09:19:28,17.5,Design flaw,Escalated to engineering
81,19,25,Changeover,Model changeover,2024-01-02 10:19:00,2024-01-02 10:38:39,19.7,Supplier issue,Operator retrained
82,19,23,Operator,Safety incident,2024-01-02 12:28:00,2024-01-02 12:53:32,25.5,Supplier issue,Settings adjusted
83,19,36,Equipment Failure,PLC fault,2024-01-02 06:55:00,2024-01-02 07:29:45,34.8,Operator error,Operator retrained
84,20,35,Changeover,Model changeover,2024-01-02 19:04:00,2024-01-02 19:24:54,20.9,Operator error,Settings adjusted
85,20,29,Material,Part shortage,2024-01-02 19:12:00,2024-01-02 19:23:18,11.3,Process variation,Operator retrained
86,21,24,Changeover,Fixture swap,2024-01-03 03:59:00,2024-01-03 04:28:42,29.7,Supplier issue,Part replaced
87,21,25,Changeover,Model changeover,2024-01-03 00:01:00,2024-01-03 00:29:32,28.5,Unknown,Temporary fix applied
88,22,46,Quality Hold,Inspection hold,2024-01-02 09:57:00,2024-01-02 10:08:06,11.1,Design flaw,Settings adjusted
89,22,38,Equipment Failure,Robot error,2024-01-02 09:43:00,2024-01-02 10:16:18,33.3,Process variation,Escalated to engineering
90,22,42,Planned Maintenance,Calibration,2024-01-02 07:41:00,2024-01-02 08:27:55,46.9,Supplier issue,Part replaced
91,22,39,Operator,Operator unavailable,2024-01-02 11:11:00,2024-01-02 11:37:21,26.4,Design flaw,Temporary fix applied
92,22,44,Changeover,Fixture swap,2024-01-02 08:29:00,2024-01-02 09:03:10,34.2,Process variation,Escalated to engineering
93,22,43,Changeover,Model changeover,2024-01-02 13:05:00,2024-01-02 13:20:33,15.6,Worn component,Operator retrained
94,23,42,Equipment Failure,Hydraulic leak,2024-01-02 14:18:00,2024-01-02 14:51:19,33.3,Worn component,Escalated to engineering
95,23,39,Equipment Failure,Pneumatic failure,2024-01-02 17:01:00,2024-01-02 17:27:09,26.2,Operator error,Temporary fix applied
96,24,42,Equipment Failure,PLC fault,2024-01-03 01:03:00,2024-01-03 01:25:53,22.9,Unknown,Root cause pending
97,24,45,Planned Maintenance,Scheduled PM,2024-01-03 05:08:00,2024-01-03 05:49:37,41.6,Unknown,Part replaced
98,25,4,Equipment Failure,Robot error,2024-01-03 09:34:00,2024-01-03 10:18:57,45,Design flaw,Escalated to engineering
99,25,6,Other,Environmental issue,2024-01-03 11:57:00,2024-01-03 12:15:54,18.9,Design flaw,Operator retrained
100,25,6,Quality Hold,Defect investigation,2024-01-03 08:41:00,2024-01-03 09:07:06,26.1,Process variation,Temporary fix applied
101,26,10,Other,IT system down,2024-01-03 14:38:00,2024-01-03 15:03:43,25.7,Unknown,Settings adjusted
102,26,2,Changeover,Tool change,2024-01-03 17:39:00,2024-01-03 18:10:50,31.8,Process variation,Escalated to engineering
103,26,12,Planned Maintenance,Scheduled PM,2024-01-03 14:39:00,2024-01-03 15:34:16,55.3,Design flaw,Settings adjusted
104,26,11,Equipment Failure,Sensor malfunction,2024-01-03 14:33:00,2024-01-03 15:07:35,34.6,Process variation,Temporary fix applied
105,27,1,Other,Environmental issue,2024-01-03 23:17:00,2024-01-03 23:28:46,11.8,Design flaw,Part replaced
106,27,9,Changeover,Model changeover,2024-01-04 04:38:00,2024-01-04 05:08:57,31,Design flaw,Temporary fix applied
107,27,12,Changeover,Tool change,2024-01-04 04:09:00,2024-01-04 04:46:33,37.6,Design flaw,Part replaced
108,28,18,Quality Hold,Rework backlog,2024-01-03 10:22:00,2024-01-03 10:47:17,25.3,Process variation,Operator retrained
109,28,15,Operator,Safety incident,2024-01-03 10:07:00,2024-01-03 10:12:03,5.1,Operator error,Settings adjusted
110,28,13,Equipment Failure,Sensor malfunction,2024-01-03 08:58:00,2024-01-03 09:26:41,28.7,Design flaw,Escalated to engineering
111,28,20,Other,Power fluctuation,2024-01-03 10:47:00,2024-01-03 11:14:08,27.1,Process variation,Escalated to engineering
112,29,21,Equipment Failure,Pneumatic failure,2024-01-03 14:59:00,2024-01-03 15:14:55,15.9,Design flaw,Operator retrained
113,29,16,Quality Hold,Inspection hold,2024-01-03 20:52:00,2024-01-03 21:00:22,8.4,Worn component,Temporary fix applied
114,29,15,Operator,Safety incident,2024-01-03 16:47:00,2024-01-03 16:59:53,12.9,Supplier issue,Root cause pending
115,29,19,Changeover,Tool change,2024-01-03 14:17:00,2024-01-03 14:54:55,37.9,Worn component,Settings adjusted
116,29,17,Material,Part shortage,2024-01-03 15:27:00,2024-01-03 15:36:09,9.2,Operator error,Settings adjusted
117,29,16,Equipment Failure,PLC fault,2024-01-03 18:12:00,2024-01-03 18:44:41,32.7,Worn component,Escalated to engineering
118,30,16,Planned Maintenance,Lubrication,2024-01-04 04:11:00,2024-01-04 04:36:09,25.2,Operator error,Root cause pending
119,30,13,Material,Wrong part delivered,2024-01-03 22:56:00,2024-01-03 23:13:04,17.1,Worn component,Escalated to engineering
120,30,17,Other,IT system down,2024-01-04 02:00:00,2024-01-04 02:28:40,28.7,Worn component,Part replaced
121,30,14,Material,Material quality issue,2024-01-04 02:39:00,2024-01-04 02:51:47,12.8,Design flaw,Settings adjusted
122,30,15,Equipment Failure,Robot error,2024-01-03 23:16:00,2024-01-03 23:53:40,37.7,Supplier issue,Operator retrained
123,30,13,Material,Part shortage,2024-01-03 22:51:00,2024-01-03 23:07:11,16.2,Unknown,Escalated to engineering
124,31,23,Equipment Failure,Pneumatic failure,2024-01-03 09:23:00,2024-01-03 10:22:23,59.4,Supplier issue,Part replaced
125,31,34,Equipment Failure,Hydraulic leak,2024-01-03 13:07:00,2024-01-03 13:50:23,43.4,Design flaw,Root cause pending
126,31,25,Changeover,Tool change,2024-01-03 12:02:00,2024-01-03 12:24:18,22.3,Process variation,Escalated to engineering
127,31,25,Material,Part shortage,2024-01-03 08:46:00,2024-01-03 09:04:56,18.9,Design flaw,Settings adjusted
128,31,34,Quality Hold,Defect investigation,2024-01-03 13:01:00,2024-01-03 13:07:10,6.2,Design flaw,Operator retrained
129,32,27,Equipment Failure,Pneumatic failure,2024-01-03 14:40:00,2024-01-03 15:35:34,55.6,Process variation,Temporary fix applied
130,32,27,Quality Hold,Rework backlog,2024-01-03 17:11:00,2024-01-03 17:37:28,26.5,Operator error,Part replaced
131,32,30,Quality Hold,Rework backlog,2024-01-03 19:27:00,2024-01-03 19:52:16,25.3,Unknown,Part replaced
132,33,26,Quality Hold,Rework backlog,2024-01-04 00:25:00,2024-01-04 00:35:28,10.5,Process variation,Settings adjusted
133,33,33,Equipment Failure,Motor failure,2024-01-04 01:16:00,2024-01-04 01:39:26,23.4,Design flaw,Part replaced
134,33,34,Changeover,Tool change,2024-01-03 22:56:00,2024-01-03 23:17:50,21.8,Design flaw,Escalated to engineering
135,33,36,Material,Material quality issue,2024-01-04 00:00:00,2024-01-04 00:25:35,25.6,Design flaw,Root cause pending
136,33,28,Material,Wrong part delivered,2024-01-04 00:20:00,2024-01-04 00:34:37,14.6,Worn component,Operator retrained
137,33,32,Quality Hold,Inspection hold,2024-01-04 04:25:00,2024-01-04 04:36:17,11.3,Unknown,Root cause pending
138,34,37,Other,IT system down,2024-01-03 07:48:00,2024-01-03 07:54:13,6.2,Unknown,Temporary fix applied
139,34,38,Other,Environmental issue,2024-01-03 10:00:00,2024-01-03 10:13:26,13.4,Supplier issue,Root cause pending
140,34,39,Material,Part shortage,2024-01-03 11:12:00,2024-01-03 11:29:33,17.6,Worn component,Root cause pending
141,34,47,Equipment Failure,Robot error,2024-01-03 11:11:00,2024-01-03 11:59:46,48.8,Supplier issue,Temporary fix applied
142,34,42,Equipment Failure,Pneumatic failure,2024-01-03 08:01:00,2024-01-03 08:38:30,37.5,Process variation,Temporary fix applied
143,35,39,Operator,Safety incident,2024-01-03 20:45:00,2024-01-03 20:54:14,9.2,Supplier issue,Operator retrained
144,35,45,Equipment Failure,Robot error,2024-01-03 20:28:00,2024-01-03 21:19:30,51.5,Operator error,Root cause pending
145,35,38,Equipment Failure,Pneumatic failure,2024-01-03 15:03:00,2024-01-03 15:20:51,17.9,Worn component,Operator retrained
146,35,44,Changeover,Fixture swap,2024-01-03 18:47:00,2024-01-03 19:28:33,41.6,Process variation,Escalated to engineering
147,36,37,Equipment Failure,Hydraulic leak,2024-01-04 01:16:00,2024-01-04 02:15:43,59.7,Supplier issue,Settings adjusted
148,36,42,Planned Maintenance,Scheduled PM,2024-01-03 23:29:00,2024-01-04 00:21:02,52,Design flaw,Temporary fix applied
149,36,40,Material,Material quality issue,2024-01-04 00:17:00,2024-01-04 00:37:44,20.7,Supplier issue,Operator retrained
150,36,44,Material,Part shortage,2024-01-04 01:09:00,2024-01-04 01:19:04,10.1,Supplier issue,Escalated to engineering
151,37,3,Equipment Failure,Hydraulic leak,2024-01-04 09:54:00,2024-01-04 10:08:18,14.3,Process variation,Temporary fix applied
152,37,6,Equipment Failure,Pneumatic failure,2024-01-04 12:57:00,2024-01-04 13:26:11,29.2,Design flaw,Root cause pending
153,37,1,Changeover,Fixture swap,2024-01-04 06:49:00,2024-01-04 07:31:52,42.9,Worn component,Operator retrained
154,38,6,Changeover,Fixture swap,2024-01-04 17:44:00,2024-01-04 18:08:17,24.3,Operator error,Settings adjusted
155,38,8,Equipment Failure,Sensor malfunction,2024-01-04 15:02:00,2024-01-04 15:37:11,35.2,Operator error,Escalated to engineering
156,38,12,Equipment Failure,Motor failure,2024-01-04 19:40:00,2024-01-04 20:21:13,41.2,Process variation,Escalated to engineering
157,39,6,Other,Environmental issue,2024-01-05 02:14:00,2024-01-05 02:29:01,15,Operator error,Root cause pending
158,39,10,Operator,Training,2024-01-05 00:49:00,2024-01-05 01:13:14,24.2,Operator error,Root cause pending
159,39,7,Changeover,Model changeover,2024-01-05 00:15:00,2024-01-05 00:31:00,16,Operator error,Part replaced
160,40,16,Quality Hold,Inspection hold,2024-01-04 10:08:00,2024-01-04 10:15:29,7.5,Unknown,Escalated to engineering
161,40,17,Equipment Failure,Motor failure,2024-01-04 10:41:00,2024-01-04 11:34:49,53.8,Worn component,Escalated to engineering
162,40,16,Equipment Failure,Motor failure,2024-01-04 12:47:00,2024-01-04 13:17:43,30.7,Supplier issue,Temporary fix applied
163,40,13,Operator,Safety incident,2024-01-04 11:49:00,2024-01-04 12:01:53,12.9,Operator error,Temporary fix applied
164,40,15,Operator,Safety incident,2024-01-04 06:01:00,2024-01-04 06:06:15,5.3,Process variation,Part replaced
165,40,14,Planned Maintenance,Lubrication,2024-01-04 10:34:00,2024-01-04 10:57:49,23.8,Worn component,Root cause pending
166,41,13,Equipment Failure,PLC fault,2024-01-04 15:42:00,2024-01-04 15:56:42,14.7,Design flaw,Escalated to engineering
167,41,21,Operator,Operator unavailable,2024-01-04 17:00:00,2024-01-04 17:05:06,5.1,Design flaw,Settings adjusted
168,41,15,Equipment Failure,Motor failure,2024-01-04 16:14:00,2024-01-04 16:36:57,23,Operator error,Part replaced
169,42,13,Other,Environmental issue,2024-01-05 03:18:00,2024-01-05 03:38:04,20.1,Design flaw,Root cause pending
170,42,15,Material,Wrong part delivered,2024-01-05 03:27:00,2024-01-05 03:54:05,27.1,Process variation,Escalated to engineering
171,42,19,Other,Power fluctuation,2024-01-05 05:20:00,2024-01-05 05:39:30,19.5,Process variation,Part replaced
172,42,22,Quality Hold,Inspection hold,2024-01-05 01:35:00,2024-01-05 01:51:26,16.4,Operator error,Root cause pending
173,43,23,Quality Hold,Defect investigation,2024-01-04 12:48:00,2024-01-04 13:08:27,20.5,Unknown,Escalated to engineering
174,43,26,Equipment Failure,Pneumatic failure,2024-01-04 06:21:00,2024-01-04 07:06:12,45.2,Design flaw,Escalated to engineering
175,43,32,Equipment Failure,Sensor malfunction,2024-01-04 07:26:00,2024-01-04 08:00:04,34.1,Supplier issue,Temporary fix applied
176,43,31,Changeover,Fixture swap,2024-01-04 10:05:00,2024-01-04 10:28:33,23.6,Unknown,Operator retrained
177,44,34,Planned Maintenance,Lubrication,2024-01-04 17:51:00,2024-01-04 18:45:53,54.9,Worn component,Temporary fix applied
178,44,32,Planned Maintenance,Calibration,2024-01-04 15:34:00,2024-01-04 16:12:49,38.8,Unknown,Operator retrained
179,44,32,Quality Hold,Rework backlog,2024-01-04 18:40:00,2024-01-04 19:00:15,20.3,Design flaw,Escalated to engineering
180,44,24,Material,Wrong part delivered,2024-01-04 19:01:00,2024-01-04 19:08:14,7.2,Design flaw,Root cause pending
181,44,27,Equipment Failure,Motor failure,2024-01-04 15:01:00,2024-01-04 15:23:21,22.4,Design flaw,Settings adjusted
182,44,35,Material,Wrong part delivered,2024-01-04 15:03:00,2024-01-04 15:18:22,15.4,Unknown,Operator retrained
183,45,25,Equipment Failure,Motor failure,2024-01-05 04:19:00,2024-01-05 05:18:28,59.5,Operator error,Escalated to engineering
184,45,31,Equipment Failure,PLC fault,2024-01-05 05:07:00,2024-01-05 05:30:59,24,Unknown,Temporary fix applied
185,46,41,Planned Maintenance,Calibration,2024-01-04 07:04:00,2024-01-04 07:33:01,29,Worn component,Root cause pending
186,46,40,Equipment Failure,Hydraulic leak,2024-01-04 07:03:00,2024-01-04 07:58:20,55.3,Worn component,Operator retrained
187,47,44,Planned Maintenance,Lubrication,2024-01-04 16:57:00,2024-01-04 17:48:50,51.8,Operator error,Escalated to engineering
188,47,48,Operator,Operator unavailable,2024-01-04 18:42:00,2024-01-04 18:49:05,7.1,Operator error,Root cause pending
189,48,37,Material,Material quality issue,2024-01-05 01:05:00,2024-01-05 01:31:36,26.6,Operator error,Part replaced
190,48,39,Equipment Failure,Pneumatic failure,2024-01-05 05:00:00,2024-01-05 05:36:38,36.6,Operator error,Temporary fix applied
191,48,47,Changeover,Fixture swap,2024-01-05 03:37:00,2024-01-05 04:02:37,25.6,Worn component,Temporary fix applied
192,48,48,Quality Hold,Rework backlog,2024-01-04 22:19:00,2024-01-04 22:45:10,26.2,Unknown,Temporary fix applied
193,48,47,Equipment Failure,PLC fault,2024-01-05 02:12:00,2024-01-05 02:32:01,20,Operator error,Escalated to engineering
194,48,44,Equipment Failure,Sensor malfunction,2024-01-05 03:45:00,2024-01-05 04:08:06,23.1,Worn component,Temporary fix applied
195,49,1,Equipment Failure,PLC fault,2024-01-05 06:06:00,2024-01-05 06:43:23,37.4,Process variation,Escalated to engineering
196,49,3,Quality Hold,Inspection hold,2024-01-05 08:40:00,2024-01-05 08:57:28,17.5,Operator error,Temporary fix applied
197,49,10,Operator,Training,2024-01-05 07:13:00,2024-01-05 07:19:40,6.7,Worn component,Temporary fix applied
198,49,5,Equipment Failure,Hydraulic leak,2024-01-05 13:17:00,2024-01-05 14:00:18,43.3,Process variation,Escalated to engineering
199,49,12,Equipment Failure,PLC fault,2024-01-05 08:49:00,2024-01-05 09:31:49,42.8,Worn component,Root cause pending
200,49,1,Quality Hold,Inspection hold,2024-01-05 08:44:00,2024-01-05 09:05:09,21.2,Process variation,Temporary fix applied
201,50,9,Equipment Failure,PLC fault,2024-01-05 17:02:00,2024-01-05 17:12:23,10.4,Design flaw,Settings adjusted
202,50,10,Material,Material quality issue,2024-01-05 16:36:00,2024-01-05 16:46:32,10.5,Design flaw,Root cause pending
203,50,4,Operator,Training,2024-01-05 20:03:00,2024-01-05 20:25:41,22.7,Process variation,Operator retrained
204,50,11,Material,Material quality issue,2024-01-05 18:47:00,2024-01-05 19:16:01,29,Unknown,Temporary fix applied
205,51,1,Equipment Failure,Hydraulic leak,2024-01-06 02:31:00,2024-01-06 03:00:12,29.2,Worn component,Settings adjusted
206,51,12,Operator,Training,2024-01-06 01:14:00,2024-01-06 01:35:11,21.2,Process variation,Part replaced
207,51,2,Quality Hold,Inspection hold,2024-01-06 02:55:00,2024-01-06 03:18:01,23,Process variation,Escalated to engineering
208,52,20,Material,Material quality issue,2024-01-05 10:45:00,2024-01-05 10:53:01,8,Unknown,Part replaced
209,52,22,Planned Maintenance,Scheduled PM,2024-01-05 13:14:00,2024-01-05 13:46:59,33,Process variation,Root cause pending
210,52,13,Quality Hold,Rework backlog,2024-01-05 07:49:00,2024-01-05 08:10:33,21.6,Worn component,Escalated to engineering
211,52,14,Equipment Failure,PLC fault,2024-01-05 08:33:00,2024-01-05 08:47:44,14.7,Unknown,Part replaced
212,52,14,Changeover,Tool change,2024-01-05 11:42:00,2024-01-05 12:24:26,42.4,Supplier issue,Settings adjusted
213,52,22,Material,Material quality issue,2024-01-05 08:28:00,2024-01-05 08:52:14,24.2,Unknown,Escalated to engineering
214,53,22,Quality Hold,Rework backlog,2024-01-05 14:18:00,2024-01-05 14:42:03,24.1,Design flaw,Settings adjusted
215,53,13,Material,Wrong part delivered,2024-01-05 21:02:00,2024-01-05 21:22:50,20.8,Supplier issue,Root cause pending
216,54,18,Material,Part shortage,2024-01-05 23:02:00,2024-01-05 23:12:06,10.1,Worn component,Root cause pending
217,54,21,Changeover,Tool change,2024-01-06 00:15:00,2024-01-06 00:35:45,20.8,Design flaw,Part replaced
218,54,20,Planned Maintenance,Lubrication,2024-01-06 00:07:00,2024-01-06 01:01:27,54.5,Supplier issue,Operator retrained
219,54,17,Equipment Failure,Sensor malfunction,2024-01-06 05:19:00,2024-01-06 05:45:42,26.7,Design flaw,Operator retrained
220,55,33,Planned Maintenance,Calibration,2024-01-05 06:15:00,2024-01-05 06:58:10,43.2,Operator error,Settings adjusted
221,55,29,Planned Maintenance,Lubrication,2024-01-05 11:06:00,2024-01-05 11:52:04,46.1,Process variation,Settings adjusted
222,55,26,Planned Maintenance,Calibration,2024-01-05 07:18:00,2024-01-05 08:15:23,57.4,Process variation,Part replaced
223,56,36,Equipment Failure,Pneumatic failure,2024-01-05 16:10:00,2024-01-05 16:49:20,39.3,Worn component,Escalated to engineering
224,56,24,Other,IT system down,2024-01-05 14:40:00,2024-01-05 15:04:33,24.6,Process variation,Part replaced
