id,production_run_id,workstation_id,product_id,unit_sequence,defect_type,defect_code,defect_description,severity,detected_timestamp,is_reworkable,was_reworked
36,5,19,2,74,Paint Defect,PNT-1748,Orange peel,Minor,2024-01-01 16:15:33,1,1
37,5,15,2,190,Cosmetic,COS-5875,Scratch,Moderate,2024-01-01 14:55:04,1,1
38,5,13,1,195,Cosmetic,COS-6874,Scratch,Major,2024-01-01 18:58:06,0,0
39,5,18,2,34,Paint Defect,PNT-1656,Color mismatch,Minor,2024-01-01 16:51:34,1,1
40,5,13,1,36,Cosmetic,COS-8953,Stain,Minor,2024-01-01 19:00:48,1,1
41,5,17,1,163,Paint Defect,PNT-9284,Overspray,Major,2024-01-01 16:10:50,1,1
42,6,19,1,67,Cosmetic,COS-2637,Scratch,Minor,2024-01-02 04:46:16,1,1
43,6,18,1,13,Cosmetic,COS-4021,Stain,Minor,2024-01-02 02:08:30,1,1
44,6,14,2,44,Cosmetic,COS-4646,Scuff mark,Moderate,2024-01-01 23:01:13,1,1
45,6,17,2,263,Paint Defect,PNT-3690,Overspray,Minor,2024-01-02 04:01:32,1,1
46,6,13,2,51,Paint Defect,PNT-6649,Orange peel,Critical,2024-01-02 01:08:45,0,0
47,6,19,2,164,Cosmetic,COS-3737,Stain,Minor,2024-01-01 23:47:58,1,0
48,7,27,1,248,Fit/Finish,FIT-9717,Flush issue,Minor,2024-01-01 09:31:54,1,1
49,7,34,2,141,Electrical,ELC-8935,Connector fault,Minor,2024-01-01 06:22:27,1,1
50,7,35,3,147,Electrical,ELC-4156,Module not responding,Major,2024-01-01 11:38:11,1,1
51,7,27,3,343,Fit/Finish,FIT-2769,Gap too wide,Major,2024-01-01 12:46:51,0,0
52,7,29,2,273,Missing Part,MIS-4884,Fastener missing,Moderate,2024-01-01 09:27:43,1,1
53,7,28,3,78,Cosmetic,COS-8732,Dent,Minor,2024-01-01 06:11:52,1,0
54,7,33,1,7,Missing Part,MIS-6436,Component missing,Moderate,2024-01-01 10:19:48,1,1
55,7,33,2,236,Electrical,ELC-6799,Module not responding,Moderate,2024-01-01 06:30:54,1,1
56,7,30,2,71,Missing Part,MIS-6894,Clip not installed,Critical,2024-01-01 12:00:15,1,0
57,7,26,2,330,Torque,TRQ-9131,Over-torque,Moderate,2024-01-01 11:54:24,1,1
58,7,25,1,294,Torque,TRQ-7732,Under-torque,Moderate,2024-01-01 08:01:21,1,1
59,8,27,2,230,Electrical,ELC-4735,Module not responding,Minor,2024-01-01 14:03:26,1,0
60,8,33,3,167,Electrical,ELC-7067,Connector fault,Moderate,2024-01-01 20:51:05,1,1
61,8,33,3,58,Fit/Finish,FIT-2310,Panel misalignment,Minor,2024-01-01 19:07:11,1,1
62,8,23,3,194,Electrical,ELC-9885,Wire harness damage,Minor,2024-01-01 18:37:36,0,0
63,8,27,2,320,Torque,TRQ-8385,Cross-threaded,Moderate,2024-01-01 17:33:11,1,1
64,8,35,1,166,Missing Part,MIS-9512,Fastener missing,Minor,2024-01-01 20:17:04,0,0
65,8,34,2,299,Fit/Finish,FIT-5556,Panel misalignment,Moderate,2024-01-01 15:25:23,1,0
66,9,33,1,4,Cosmetic,COS-4566,Scuff mark,Minor,2024-01-02 03:46:17,1,1
67,9,23,1,81,Cosmetic,COS-3900,Scratch,Minor,2024-01-02 04:08:37,1,1
68,9,32,1,136,Missing Part,MIS-5803,Clip not installed,Moderate,2024-01-02 00:19:35,1,1
69,9,36,3,299,Electrical,ELC-6585,Module not responding,Major,2024-01-02 02:24:40,0,0
70,9,36,1,320,Electrical,ELC-1928,Module not responding,Minor,2024-01-02 01:23:47,1,1
71,10,39,1,253,Cosmetic,COS-5948,Dent,Minor,2024-01-01 07:18:53,1,1
72,10,40,1,233,Missing Part,MIS-2653,Clip not installed,Minor,2024-01-01 11:27:08,1,1
73,10,48,1,304,Missing Part,MIS-2943,Fastener missing,Minor,2024-01-01 12:09:37,1,1
74,10,46,3,232,Torque,TRQ-7528,Over-torque,Minor,2024-01-01 09:21:40,1,1
75,10,37,2,277,Fit/Finish,FIT-3787,Panel misalignment,Major,2024-01-01 07:43:04,1,1
76,10,43,1,87,Cosmetic,COS-2460,Stain,Minor,2024-01-01 11:25:40,1,1
77,10,49,2,113,Torque,TRQ-6491,Under-torque,Moderate,2024-01-01 06:14:56,0,0
78,10,44,2,156,Cosmetic,COS-4551,Scuff mark,Minor,2024-01-01 06:05:11,1,1
79,11,47,3,166,Missing Part,MIS-5611,Component missing,Minor,2024-01-01 18:46:02,1,1
80,11,48,3,220,Cosmetic,COS-9362,Scuff mark,Minor,2024-01-01 19:16:09,1,0
81,11,45,2,227,Missing Part,MIS-3171,Component missing,Minor,2024-01-01 17:43:44,1,1
82,11,47,1,283,Fluid Leak,LKG-3117,Oil leak,Minor,2024-01-01 18:07:23,1,0
83,11,43,1,259,Cosmetic,COS-3163,Stain,Minor,2024-01-01 16:46:11,1,1
84,11,37,1,160,Fit/Finish,FIT-2886,Flush issue,Minor,2024-01-01 17:06:44,1,1
85,12,45,1,260,Missing Part,MIS-2491,Clip not installed,Minor,2024-01-02 00:30:21,1,1
86,12,45,1,167,Missing Part,MIS-5388,Clip not installed,Moderate,2024-01-02 03:01:17,0,0
87,12,44,1,218,Fit/Finish,FIT-3853,Door sag,Minor,2024-01-02 02:33:48,1,1
88,12,44,2,67,Torque,TRQ-4620,Cross-threaded,Critical,2024-01-02 04:07:56,0,0
89,12,43,1,70,Torque,TRQ-2842,Over-torque,Major,2024-01-01 23:51:49,1,1
90,12,37,2,282,Fluid Leak,LKG-3633,Fuel system leak,Minor,2024-01-02 03:54:07,1,1
91,12,48,3,34,Missing Part,MIS-4612,Component missing,Moderate,2024-01-02 04:43:03,1,1
92,12,49,3,69,Electrical,ELC-3255,Wire harness damage,Major,2024-01-02 02:35:05,1,1
93,12,45,1,176,Missing Part,MIS-7719,Clip not installed,Major,2024-01-02 00:14:41,0,0
94,12,47,1,71,Missing Part,MIS-3227,Component missing,Moderate,2024-01-02 00:56:23,1,1
95,13,5,2,135,Fit/Finish,FIT-5271,Door sag,Major,2024-01-02 09:42:47,1,1
96,13,4,2,209,Weld Defect,WLD-9619,Porosity,Minor,2024-01-02 12:34:30,1,0
97,13,11,3,196,Fit/Finish,FIT-4580,Door sag,Moderate,2024-01-02 07:43:21,1,1
98,13,1,3,250,Fit/Finish,FIT-5687,Gap too wide,Moderate,2024-01-02 07:49:52,0,0
99,13,6,3,181,Cosmetic,COS-5818,Dent,Minor,2024-01-02 06:30:59,1,0
100,13,12,2,140,Fit/Finish,FIT-7536,Flush issue,Minor,2024-01-02 11:01:13,1,0
101,13,9,1,245,Weld Defect,WLD-7130,Crack in weld,Moderate,2024-01-02 12:47:18,1,1
102,14,5,1,227,Weld Defect,WLD-5975,Incomplete weld,Minor,2024-01-02 20:37:11,1,1
103,14,1,3,65,Weld Defect,WLD-5072,Crack in weld,Major,2024-01-02 19:13:58,0,0
104,14,6,2,261,Weld Defect,WLD-8353,Incomplete weld,Moderate,2024-01-02 14:11:21,1,1
105,14,9,2,83,Fit/Finish,FIT-2111,Door sag,Minor,2024-01-02 17:49:51,1,1
106,14,2,2,221,Weld Defect,WLD-5133,Incomplete weld,Moderate,2024-01-02 15:18:21,1,1
107,14,6,1,246,Cosmetic,COS-8235,Dent,Moderate,2024-01-02 18:09:18,1,0
108,14,5,3,75,Cosmetic,COS-1123,Stain,Minor,2024-01-02 20:37:08,1,1
109,14,6,3,145,Cosmetic,COS-2283,Dent,Minor,2024-01-02 14:11:51,1,1
110,15,3,1,244,Fit/Finish,FIT-6279,Door sag,Minor,2024-01-03 00:13:58,1,1
111,15,5,3,82,Cosmetic,COS-3843,Scratch,Moderate,2024-01-03 01:03:38,1,1
112,15,11,2,56,Cosmetic,COS-4459,Dent,Minor,2024-01-03 01:28:24,1,1
113,15,12,2,19,Weld Defect,WLD-7746,Porosity,Minor,2024-01-03 00:43:26,1,0
114,16,14,2,136,Cosmetic,COS-3502,Dent,Minor,2024-01-02 11:48:20,1,0
115,16,14,2,272,Paint Defect,PNT-4716,Orange peel,Moderate,2024-01-02 06:48:15,1,1
116,16,18,1,56,Paint Defect,PNT-1918,Overspray,Moderate,2024-01-02 07:50:46,1,1
117,16,15,1,229,Cosmetic,COS-2409,Scuff mark,Minor,2024-01-02 09:57:49,1,1
118,16,15,1,279,Paint Defect,PNT-3037,Orange peel,Minor,2024-01-02 08:56:00,1,1
119,17,17,3,157,Cosmetic,COS-2129,Stain,Minor,2024-01-02 17:45:30,1,1
120,17,22,3,204,Cosmetic,COS-9337,Dent,Minor,2024-01-02 16:36:34,1,1
121,17,20,2,267,Paint Defect,PNT-2692,Dirt inclusion,Moderate,2024-01-02 17:01:48,0,0
122,18,20,3,66,Paint Defect,PNT-7722,Overspray,Minor,2024-01-03 01:22:03,1,1
123,18,18,3,133,Paint Defect,PNT-5723,Dirt inclusion,Minor,2024-01-03 02:03:25,1,1
124,18,14,2,174,Paint Defect,PNT-4524,Color mismatch,Major,2024-01-03 00:45:01,1,0
125,18,20,3,210,Cosmetic,COS-8929,Dent,Minor,2024-01-03 00:32:13,1,1
126,18,22,2,60,Paint Defect,PNT-3876,Runs/sags,Minor,2024-01-03 00:21:16,1,0
127,18,22,1,255,Paint Defect,PNT-1211,Dirt inclusion,Major,2024-01-03 01:15:50,1,1
128,18,14,2,201,Cosmetic,COS-5506,Dent,Moderate,2024-01-03 03:45:03,1,1
129,18,14,3,81,Cosmetic,COS-1122,Stain,Moderate,2024-01-02 22:17:43,0,0
130,19,32,2,110,Cosmetic,COS-9223,Scuff mark,Moderate,2024-01-02 11:46:26,0,0
131,19,26,1,126,Torque,TRQ-9560,Cross-threaded,Minor,2024-01-02 09:30:43,1,1
132,19,36,1,142,Torque,TRQ-2014,Under-torque,Moderate,2024-01-02 08:26:30,1,1
133,19,32,2,11,Fit/Finish,FIT-7745,Panel misalignment,Critical,2024-01-02 07:09:28,0,0
134,20,26,1,296,Electrical,ELC-1503,Wire harness damage,Minor,2024-01-02 14:16:59,1,0
135,20,28,2,132,Fit/Finish,FIT-3307,Flush issue,Moderate,2024-01-02 17:48:49,1,1
136,20,29,1,121,Fit/Finish,FIT-8576,Gap too wide,Moderate,2024-01-02 14:59:20,0,0
137,20,25,3,95,Electrical,ELC-8120,Module not responding,Moderate,2024-01-02 14:36:32,1,1
138,20,26,1,100,Electrical,ELC-6014,Connector fault,Moderate,2024-01-02 20:10:39,1,1
139,20,27,1,244,Fit/Finish,FIT-6750,Panel misalignment,Major,2024-01-02 19:50:46,0,0
140,20,29,3,73,Electrical,ELC-9599,Module not responding,Moderate,2024-01-02 16:39:07,1,0
141,20,24,1,266,Torque,TRQ-9749,Under-torque,Moderate,2024-01-02 17:04:19,1,1
142,20,25,3,137,Cosmetic,COS-7584,Dent,Moderate,2024-01-02 15:32:43,1,1
143,21,33,2,184,Missing Part,MIS-2125,Fastener missing,Moderate,2024-01-03 02:52:36,1,1
144,21,23,3,220,Torque,TRQ-5487,Cross-threaded,Moderate,2024-01-03 03:58:24,1,1
145,21,26,2,294,Electrical,ELC-6471,Module not responding,Minor,2024-01-03 00:36:52,1,1
146,21,26,3,212,Missing Part,MIS-1600,Fastener missing,Minor,2024-01-03 04:14:56,1,1
147,21,36,3,137,Fit/Finish,FIT-4295,Door sag,Moderate,2024-01-02 23:54:06,1,1
148,21,34,2,123,Missing Part,MIS-4526,Component missing,Minor,2024-01-03 02:42:00,1,1
149,21,36,3,114,Torque,TRQ-6367,Under-torque,Moderate,2024-01-03 04:56:23,0,0
150,21,29,2,280,Missing Part,MIS-1819,Component missing,Minor,2024-01-03 04:21:12,1,1
151,21,32,3,152,Torque,TRQ-5401,Over-torque,Moderate,2024-01-03 03:29:53,1,1
152,21,29,3,55,Cosmetic,COS-2957,Dent,Minor,2024-01-03 04:54:43,1,1
153,21,32,1,132,Torque,TRQ-7911,Under-torque,Minor,2024-01-03 03:19:41,1,1
154,22,43,2,121,Electrical,ELC-6179,Connector fault,Minor,2024-01-02 11:10:26,1,0
155,22,44,3,270,Torque,TRQ-1684,Over-torque,Moderate,2024-01-02 10:52:22,1,1
156,22,38,3,75,Cosmetic,COS-6378,Scuff mark,Moderate,2024-01-02 09:10:07,0,0
157,22,38,2,227,Fluid Leak,LKG-1790,Fuel system leak,Minor,2024-01-02 12:01:10,1,1
158,23,38,2,40,Electrical,ELC-8469,Wire harness damage,Major,2024-01-02 20:18:15,0,0
159,23,43,1,276,Torque,TRQ-8429,Over-torque,Moderate,2024-01-02 14:30:06,1,1
160,23,40,1,69,Electrical,ELC-1219,Wire harness damage,Minor,2024-01-02 20:27:59,1,1
161,23,44,2,232,Electrical,ELC-6300,Module not responding,Minor,2024-01-02 16:58:55,1,1
162,23,37,1,203,Missing Part,MIS-2038,Component missing,Minor,2024-01-02 14:01:13,1,1
163,23,44,2,260,Missing Part,MIS-4540,Clip not installed,Minor,2024-01-02 20:33:14,1,1
164,23,37,2,42,Fluid Leak,LKG-3191,Fuel system leak,Minor,2024-01-02 19:17:50,1,1
165,23,49,2,259,Electrical,ELC-7064,Wire harness damage,Moderate,2024-01-02 14:49:49,0,0
166,23,43,1,92,Missing Part,MIS-8905,Fastener missing,Minor,2024-01-02 14:27:13,1,1
167,23,39,2,227,Fit/Finish,FIT-5706,Door sag,Minor,2024-01-02 17:52:50,1,0
168,24,49,3,245,Fluid Leak,LKG-9409,Fuel system leak,Minor,2024-01-03 00:38:10,1,1
169,24,49,2,197,Electrical,ELC-8358,Wire harness damage,Minor,2024-01-03 00:16:03,1,1
170,24,47,1,269,Electrical,ELC-8966,Module not responding,Minor,2024-01-03 03:49:14,1,1
171,24,39,3,28,Missing Part,MIS-1960,Component missing,Moderate,2024-01-02 22:34:26,1,1
172,24,46,3,252,Fluid Leak,LKG-5552,Oil leak,Minor,2024-01-02 22:50:35,1,1
173,25,3,1,116,Fit/Finish,FIT-7239,Gap too wide,Minor,2024-01-03 08:18:32,1,1
174,25,2,2,191,Cosmetic,COS-8495,Dent,Minor,2024-01-03 06:38:10,1,1
175,25,12,2,226,Weld Defect,WLD-7969,Porosity,Major,2024-01-03 10:04:56,0,0
176,25,11,1,181,Weld Defect,WLD-8013,Incomplete weld,Moderate,2024-01-03 09:58:09,1,1
177,25,1,2,30,Fit/Finish,FIT-1749,Flush issue,Major,2024-01-03 10:39:45,0,0
178,25,3,2,230,Fit/Finish,FIT-6377,Door sag,Moderate,2024-01-03 11:34:30,1,1
179,25,3,2,85,Weld Defect,WLD-4209,Weld spatter,Moderate,2024-01-03 07:36:43,1,1
180,25,3,3,136,Weld Defect,WLD-7872,Crack in weld,Minor,2024-01-03 06:28:30,1,1
181,25,9,1,237,Cosmetic,COS-3338,Scuff mark,Moderate,2024-01-03 08:14:37,1,1
182,26,12,1,209,Fit/Finish,FIT-2265,Door sag,Minor,2024-01-03 19:32:30,1,0
183,26,12,1,221,Weld Defect,WLD-6575,Incomplete weld,Minor,2024-01-03 20:27:12,1,1
184,26,12,2,78,Cosmetic,COS-5769,Scratch,Critical,2024-01-03 17:37:58,0,0
185,26,12,3,224,Weld Defect,WLD-4672,Incomplete weld,Minor,2024-01-03 14:45:25,1,1
186,26,3,3,262,Cosmetic,COS-5216,Scuff mark,Minor,2024-01-03 14:44:17,1,1
187,26,1,1,22,Weld Defect,WLD-5698,Crack in weld,Moderate,2024-01-03 18:48:59,0,0
188,26,2,3,202,Fit/Finish,FIT-7750,Door sag,Minor,2024-01-03 19:45:12,1,1
189,27,3,1,156,Cosmetic,COS-8421,Stain,Minor,2024-01-04 00:22:29,1,1
190,27,10,2,35,Cosmetic,COS-8180,Scratch,Minor,2024-01-03 22:11:22,1,1
191,27,10,3,128,Cosmetic,COS-3502,Scratch,Minor,2024-01-03 22:30:27,1,1
192,27,11,3,338,Weld Defect,WLD-8278,Porosity,Minor,2024-01-04 04:11:02,1,1
193,27,5,1,158,Cosmetic,COS-9796,Dent,Minor,2024-01-04 00:48:27,1,1
194,28,21,1,96,Paint Defect,PNT-6771,Orange peel,Minor,2024-01-03 06:06:09,0,0
195,28,15,3,25,Paint Defect,PNT-9394,Dirt inclusion,Moderate,2024-01-03 06:29:06,0,0
196,28,18,2,145,Cosmetic,COS-9999,Scuff mark,Moderate,2024-01-03 11:48:23,0,0
197,28,19,3,183,Paint Defect,PNT-2511,Runs/sags,Minor,2024-01-03 11:03:55,1,1
198,28,16,3,277,Cosmetic,COS-3166,Scuff mark,Minor,2024-01-03 10:25:32,1,1
199,28,21,3,94,Paint Defect,PNT-1523,Runs/sags,Moderate,2024-01-03 11:50:49,1,1
200,28,14,2,71,Cosmetic,COS-1937,Dent,Minor,2024-01-03 06:15:26,1,1
201,28,19,3,163,Paint Defect,PNT-4713,Orange peel,Minor,2024-01-03 11:09:48,1,1
202,29,13,2,282,Cosmetic,COS-8647,Dent,Minor,2024-01-03 17:56:55,1,1
203,29,22,3,200,Cosmetic,COS-1140,Stain,Moderate,2024-01-03 16:12:34,0,0
204,29,16,1,24,Cosmetic,COS-4229,Dent,Minor,2024-01-03 19:09:33,1,1
205,29,21,3,178,Paint Defect,PNT-7384,Color mismatch,Minor,2024-01-03 17:25:41,1,0
206,29,17,3,96,Paint Defect,PNT-8594,Dirt inclusion,Moderate,2024-01-03 15:09:52,1,1
207,30,13,1,284,Cosmetic,COS-3069,Stain,Minor,2024-01-04 03:22:39,1,1
208,30,19,1,270,Paint Defect,PNT-5035,Color mismatch,Moderate,2024-01-04 01:39:34,1,1
209,30,14,3,45,Cosmetic,COS-1356,Stain,Minor,2024-01-04 04:15:05,1,1
210,30,13,1,105,Paint Defect,PNT-6638,Orange peel,Major,2024-01-04 00:12:21,1,1
211,31,27,2,216,Fit/Finish,FIT-9702,Door sag,Minor,2024-01-03 12:15:07,1,1
212,31,33,3,86,Fit/Finish,FIT-9662,Flush issue,Minor,2024-01-03 06:37:44,1,1
213,31,28,1,195,Electrical,ELC-7906,Connector fault,Minor,2024-01-03 12:03:06,1,1
214,31,33,3,49,Cosmetic,COS-7223,Scuff mark,Minor,2024-01-03 10:05:27,1,1
215,32,26,2,39,Missing Part,MIS-1232,Fastener missing,Minor,2024-01-03 20:57:38,1,1
216,32,28,1,300,Missing Part,MIS-6194,Component missing,Major,2024-01-03 16:03:32,0,0
217,32,25,1,169,Cosmetic,COS-7558,Stain,Minor,2024-01-03 20:16:41,1,1
218,32,26,3,240,Cosmetic,COS-4315,Stain,Major,2024-01-03 18:59:28,0,0
219,32,26,2,188,Fit/Finish,FIT-9826,Door sag,Moderate,2024-01-03 17:30:01,1,1
220,32,32,2,313,Cosmetic,COS-2524,Dent,Major,2024-01-03 17:22:44,0,0
221,32,31,2,268,Missing Part,MIS-2820,Clip not installed,Major,2024-01-03 14:49:19,0,0
222,32,33,3,310,Torque,TRQ-1736,Under-torque,Minor,2024-01-03 20:47:40,1,1
223,32,30,1,204,Missing Part,MIS-4249,Clip not installed,Moderate,2024-01-03 16:34:35,0,0
224,32,24,2,284,Electrical,ELC-2323,Module not responding,Moderate,2024-01-03 20:40:35,0,0
225,32,29,3,47,Fit/Finish,FIT-7033,Door sag,Minor,2024-01-03 20:47:17,1,1
226,32,31,3,108,Cosmetic,COS-4013,Dent,Moderate,2024-01-03 18:52:20,1,1
227,33,36,3,14,Cosmetic,COS-4849,Scratch,Moderate,2024-01-04 04:46:02,1,1
228,33,32,1,169,Cosmetic,COS-6429,Stain,Minor,2024-01-03 23:17:50,1,1
229,33,24,1,130,Missing Part,MIS-8192,Component missing,Moderate,2024-01-04 03:47:46,1,1
230,33,23,3,198,Torque,TRQ-7698,Over-torque,Major,2024-01-04 01:23:36,0,0
231,33,31,2,176,Torque,TRQ-3912,Cross-threaded,Minor,2024-01-04 03:33:07,1,1
232,33,33,1,302,Electrical,ELC-5311,Connector fault,Minor,2024-01-04 00:28:35,1,1
233,33,32,3,147,Electrical,ELC-5047,Module not responding,Minor,2024-01-04 03:24:02,1,1
234,33,26,3,255,Cosmetic,COS-9915,Stain,Moderate,2024-01-04 01:00:20,0,0
235,33,31,2,290,Electrical,ELC-6814,Connector fault,Minor,2024-01-03 23:48:18,1,1
236,33,31,2,149,Electrical,ELC-4766,Connector fault,Minor,2024-01-04 00:31:01,1,1
237,34,37,1,62,Fit/Finish,FIT-4519,Panel misalignment,Minor,2024-01-03 06:09:15,1,0
238,34,45,1,269,Fluid Leak,LKG-9290,Coolant leak,Minor,2024-01-03 06:19:04,1,1
239,34,43,3,281,Fit/Finish,FIT-3950,Door sag,Minor,2024-01-03 12:44:23,1,1
240,34,38,1,281,Torque,TRQ-7588,Cross-threaded,Moderate,2024-01-03 12:58:49,0,0
241,34,40,2,287,Missing Part,MIS-5299,Fastener missing,Moderate,2024-01-03 09:11:38,0,0
242,35,38,3,293,Torque,TRQ-4761,Over-torque,Minor,2024-01-03 20:05:35,1,1
243,35,37,1,212,Missing Part,MIS-1528,Component missing,Moderate,2024-01-03 18:20:59,1,1
244,35,38,3,158,Fluid Leak,LKG-9292,Fuel system leak,Minor,2024-01-03 17:50:22,1,0
245,35,47,3,273,Electrical,ELC-3267,Wire harness damage,Moderate,2024-01-03 20:17:20,1,1
246,35,40,1,80,Fluid Leak,LKG-4763,Coolant leak,Minor,2024-01-03 16:58:53,1,1
247,35,41,1,287,Cosmetic,COS-6785,Scratch,Major,2024-01-03 20:56:51,1,1
248,35,46,3,100,Electrical,ELC-6291,Wire harness damage,Minor,2024-01-03 19:44:59,1,1
249,36,38,1,18,Torque,TRQ-4358,Under-torque,Minor,2024-01-04 01:55:31,1,0
250,36,42,2,222,Electrical,ELC-7280,Module not responding,Minor,2024-01-04 04:08:05,1,1
251,36,40,1,45,Missing Part,MIS-1844,Component missing,Minor,2024-01-04 01:00:58,1,1
252,36,40,2,292,Cosmetic,COS-8005,Scratch,Major,2024-01-03 22:41:49,0,0
253,36,40,1,287,Electrical,ELC-1961,Wire harness damage,Minor,2024-01-03 23:54:27,1,1
254,37,1,3,114,Weld Defect,WLD-4398,Crack in weld,Moderate,2024-01-04 12:38:22,1,1
255,37,9,3,59,Fit/Finish,FIT-7725,Panel misalignment,Minor,2024-01-04 07:23:53,0,0
256,37,4,2,20,Weld Defect,WLD-6202,Porosity,Minor,2024-01-04 12:55:21,1,1
257,37,7,2,281,Cosmetic,COS-9216,Scuff mark,Moderate,2024-01-04 10:09:49,1,1
258,37,8,1,172,Fit/Finish,FIT-6518,Flush issue,Moderate,2024-01-04 11:03:58,1,0
259,38,6,1,58,Fit/Finish,FIT-9111,Panel misalignment,Minor,2024-01-04 17:18:02,1,0
260,38,2,1,228,Cosmetic,COS-8058,Dent,Minor,2024-01-04 19:58:54,1,1
261,38,11,2,4,Weld Defect,WLD-3935,Incomplete weld,Minor,2024-01-04 15:49:04,1,0
262,38,5,2,10,Fit/Finish,FIT-8862,Gap too wide,Minor,2024-01-04 20:39:11,1,1
263,38,9,2,91,Weld Defect,WLD-1688,Incomplete weld,Minor,2024-01-04 16:59:46,1,1
264,38,9,1,256,Cosmetic,COS-3659,Dent,Minor,2024-01-04 20:55:48,1,1
265,38,2,2,255,Fit/Finish,FIT-2752,Gap too wide,Critical,2024-01-04 16:35:21,0,0
266,38,4,2,57,Cosmetic,COS-5507,Scuff mark,Minor,2024-01-04 15:14:20,1,0
267,38,10,2,93,Fit/Finish,FIT-6367,Flush issue,Critical,2024-01-04 17:03:07,0,0
268,39,2,2,242,Cosmetic,COS-7816,Scratch,Minor,2024-01-05 02:06:33,1,1
269,39,3,1,106,Weld Defect,WLD-3320,Crack in weld,Minor,2024-01-05 01:38:15,1,0
270,39,11,3,158,Weld Defect,WLD-5060,Crack in weld,Major,2024-01-05 01:31:03,1,1
271,39,12,3,132,Weld Defect,WLD-7422,Crack in weld,Moderate,2024-01-04 23:47:57,0,0
272,39,6,1,61,Fit/Finish,FIT-7804,Gap too wide,Major,2024-01-05 02:26:29,1,1
273,39,10,3,228,Fit/Finish,FIT-6463,Panel misalignment,Minor,2024-01-05 03:03:44,1,0
